status,completeness,subject,muscle,side,session,date,channel_hint,delsys,ze1,ze2,match_note
可比對,complete,Frank,脛前肌,左,a10,09-09,左脛前肌 → ZE1 Ch1／ZE2 Ch2,2609-09 frank左脛前肌(Delsys)_with_a10_2.csv,09-09_09-58-36_663_ExgCh1Data_(Frank 左脛前肌)_a10_褲XL_2.txt,09-09_10-12-46_289_Ch1_(Frank 左脛前肌)_ze2_褲XL_2.txt,ZE1一對一 score=198（Frank / 脛前肌 / 左 / a10 / 09-09 / #2｜建議ZE1 Ch1）；ZE2一對一 score=110（Frank / 脛前肌 / 左 / 09-09 / #2｜建議ZE2 Ch2）
可比對,complete,Frank,腓腸肌,左,a09,09-09,左腓腸肌 → ZE1 Ch2／ZE2 Ch1,2609-09 frank左腓腸肌(Delsys)_with_a09_1.csv,09-09_10-31-15_181_ExgCh2Data_(Frank 左腓腸肌)_a09_褲XL_1.txt,09-09_10-48-41_826_Ch1_(Frank 左腓腸肌)_ze2_褲XL_1.txt,ZE1一對一 score=198（Frank / 腓腸肌 / 左 / a09 / 09-09 / #1｜建議ZE1 Ch2）；ZE2一對一 score=143（Frank / 腓腸肌 / 左 / 09-09 / #1｜建議ZE2 Ch1）
可比對,complete,Frank,腓腸肌,左,a09,09-09,左腓腸肌 → ZE1 Ch2／ZE2 Ch1,2609-09 frank左腓腸肌(Delsys)_with_a09_2.csv,09-09_10-35-51_625_ExgCh2Data_(Frank 左腓腸肌)_a09_褲XL_2.txt,09-09_10-51-00_016_Ch1_(Frank 左腓腸肌)_ze2_褲XL_2.txt,ZE1一對一 score=198（Frank / 腓腸肌 / 左 / a09 / 09-09 / #2｜建議ZE1 Ch2）；ZE2一對一 score=143（Frank / 腓腸肌 / 左 / 09-09 / #2｜建議ZE2 Ch1）
可比對,complete,Frank,腓腸肌,左,a10,09-09,左腓腸肌 → ZE1 Ch2／ZE2 Ch1,2609-09 frank左腓腸肌(Delsys)_with_a10_1.csv,09-09_10-40-13_031_ExgCh2Data_(Frank 左腓腸肌)_a10_褲XL_1.txt,09-03_12-24-16_163_Ch1(Frank 左腓腸肌).txt,ZE1一對一 score=198（Frank / 腓腸肌 / 左 / a10 / 09-09 / #1｜建議ZE1 Ch2）；ZE2一對一 score=115（Frank / 腓腸肌 / 左｜建議ZE2 Ch1）
可比對,complete,Frank,腓腸肌,左,a10,09-09,左腓腸肌 → ZE1 Ch2／ZE2 Ch1,2609-09 frank左腓腸肌(Delsys)_with_a10_2.csv,09-09_10-45-37_881_ExgCh2Data_(Frank 左腓腸肌)_a10_褲XL_2.txt,09-09_10-51-00_016_Ch2_(Frank 左腓腸肌)_ze2_褲XL_2.txt,ZE1一對一 score=198（Frank / 腓腸肌 / 左 / a10 / 09-09 / #2｜建議ZE1 Ch2）；ZE2一對一 score=110（Frank / 腓腸肌 / 左 / 09-09 / #2｜建議ZE2 Ch1）
可比對,complete,Frank,脛前肌,右,a09,09-09,右脛前肌 → ZE1 Ch2／ZE2 Ch1,2609-09 frank 右脛前肌_a09_褲XL_疲勞1.csv,09-09_14-55-41_279_ExgCh2Data_(Frank 右脛前肌)_a09_褲XL_去腿毛.txt,09-03_14-45-34_825_Ch1(Frank 右脛前肌).txt,ZE1一對一 score=190（Frank / 脛前肌 / 右 / a09 / 09-09｜建議ZE1 Ch2）；ZE2一對一 score=115（Frank / 脛前肌 / 右｜建議ZE2 Ch1）
可比對,complete,Frank,脛前肌,右,a09,09-09,右脛前肌 → ZE1 Ch2／ZE2 Ch1,2609-09 frank 右脛前肌_a09_褲XL_疲勞2.csv,09-09_14-57-46_856_ExgCh2Data_(Frank 右脛前肌)_a09_褲XL_疲勞1.txt,09-09_11-27-57_319_Ch2(frank右脛前肌).txt,ZE1一對一 score=190（Frank / 脛前肌 / 右 / a09 / 09-09｜建議ZE1 Ch2）；ZE2一對一 score=102（Frank / 脛前肌 / 右 / 09-09｜建議ZE2 Ch1）
可比對,complete,Frank,脛前肌,右,a09,09-09,右脛前肌 → ZE1 Ch2／ZE2 Ch1,2609-09 frank 右脛前肌_a09_褲XL_疲勞3.csv,09-09_15-01-03_995_ExgCh2Data_(Frank 右脛前肌)_a09_褲XL_疲勞2.txt,09-09_11-27-57_319_Ch2_(Frank 右脛前肌)_ze2_褲XL_1.txt,ZE1一對一 score=190（Frank / 脛前肌 / 右 / a09 / 09-09｜建議ZE1 Ch2）；ZE2一對一 score=102（Frank / 脛前肌 / 右 / 09-09｜建議ZE2 Ch1）
可比對,complete,Frank,腓腸肌,右,a09,09-09,右腓腸肌 → ZE1 Ch1／ZE2 Ch2,2609-09 frank 右腓腸肌_a09_褲XL_疲勞1.csv,09-09_11-50-05_808_ExgCh1Data_(Frank 右腓腸肌)_a09_褲XL_2.txt,09-09_11-59-10_048_Ch1_(Frank 右腓腸肌)_ze2_褲XL_1.txt,ZE1一對一 score=190（Frank / 腓腸肌 / 右 / a09 / 09-09｜建議ZE1 Ch1）；ZE2一對一 score=102（Frank / 腓腸肌 / 右 / 09-09｜建議ZE2 Ch2）
可比對,complete,Frank,腓腸肌,右,a09,09-09,右腓腸肌 → ZE1 Ch1／ZE2 Ch2,2609-09 frank 右腓腸肌_a09_褲XL_疲勞2.csv,09-09_15-16-55_610_ExgCh1Data_(Frank 右腓腸肌)_a09_褲XL_去腿毛.txt,09-09_12-1-14_084_Ch1_(Frank 右腓腸肌)_ze2_褲XL_2.txt,ZE1一對一 score=190（Frank / 腓腸肌 / 右 / a09 / 09-09｜建議ZE1 Ch1）；ZE2一對一 score=102（Frank / 腓腸肌 / 右 / 09-09｜建議ZE2 Ch2）
可比對,partial,Frank,腓腸肌,右,a09,09-09,右腓腸肌 → ZE1 Ch1／ZE2 Ch2,2609-09 frank 右腓腸肌_a09_褲XL_疲勞3.csv,09-09_15-20-08_195_ExgCh1Data_(Frank 右腓腸肌)_a09_褲XL_疲勞1.txt,,ZE1一對一 score=190（Frank / 腓腸肌 / 右 / a09 / 09-09｜建議ZE1 Ch1）；ZE2未配對：無符合一對一檔名條件
可比對,complete,Frank,脛前肌,左,a09,09-09,左脛前肌 → ZE1 Ch1／ZE2 Ch2,2609-09 frank 左脛前肌_a09_褲XL_疲勞1.csv,09-09_12-39-13_023_ExgCh1Data_(Frank 左脛前肌)_a09_褲XL_去腿毛.txt,09-09_10-8-56_879_Ch1_(Frank_左脛前肌)_ze2_褲XL_1.txt,ZE1一對一 score=190（Frank / 脛前肌 / 左 / a09 / 09-09｜建議ZE1 Ch1）；ZE2一對一 score=102（Frank / 脛前肌 / 左 / 09-09｜建議ZE2 Ch2）
可比對,partial,Frank,脛前肌,左,a09,09-09,左脛前肌 → ZE1 Ch1／ZE2 Ch2,2609-09 frank 左脛前肌_a09_褲XL_疲勞2.csv,09-09_12-42-56_134_ExgCh1Data_(Frank 左脛前肌)_a09_褲XL_疲勞1.txt,,ZE1一對一 score=190（Frank / 脛前肌 / 左 / a09 / 09-09｜建議ZE1 Ch1）；ZE2未配對：無符合一對一檔名條件
可比對,partial,Frank,脛前肌,左,a09,09-09,左脛前肌 → ZE1 Ch1／ZE2 Ch2,2609-09 frank 左脛前肌_a09_褲XL_疲勞3.csv,09-09_12-47-55_198_ExgCh1Data_(Frank 左脛前肌)_a09_褲XL_疲勞2.txt,,ZE1一對一 score=190（Frank / 脛前肌 / 左 / a09 / 09-09｜建議ZE1 Ch1）；ZE2未配對：無符合一對一檔名條件
可比對,complete,Frank,腓腸肌,左,a09,09-09,左腓腸肌 → ZE1 Ch2／ZE2 Ch1,2609-09 frank 左腓腸肌_a09_褲XL_疲勞1.csv,09-09_14-32-12_387_ExgCh2Data_(Frank 左腓腸肌)_a09_褲XL_去腿毛.txt,09-09_10-48-41_826_Ch2_(Frank 左腓腸肌)_ze2_褲XL_1.txt,ZE1一對一 score=190（Frank / 腓腸肌 / 左 / a09 / 09-09｜建議ZE1 Ch2）；ZE2一對一 score=102（Frank / 腓腸肌 / 左 / 09-09｜建議ZE2 Ch1）
可比對,partial,Frank,腓腸肌,左,a09,09-09,左腓腸肌 → ZE1 Ch2／ZE2 Ch1,2609-09 frank 左腓腸肌_a09_褲XL_疲勞2.csv,09-09_14-34-47_174_ExgCh2Data_(Frank 左腓腸肌)_a09_褲XL_疲勞1.txt,,ZE1一對一 score=190（Frank / 腓腸肌 / 左 / a09 / 09-09｜建議ZE1 Ch2）；ZE2未配對：無符合一對一檔名條件
可比對,partial,Frank,腓腸肌,左,a09,09-09,左腓腸肌 → ZE1 Ch2／ZE2 Ch1,2609-09 frank 左腓腸肌_a09_褲XL_疲勞3.csv,09-09_14-38-43_403_ExgCh2Data_(Frank 左腓腸肌)_a09_褲XL_疲勞2.txt,,ZE1一對一 score=190（Frank / 腓腸肌 / 左 / a09 / 09-09｜建議ZE1 Ch2）；ZE2未配對：無符合一對一檔名條件
可比對,complete,Frank,脛前肌,右,a09,09-09,右脛前肌 → ZE1 Ch2／ZE2 Ch1,2609-09 frank右脛前肌_with_a09_褲XL_去腿毛.csv,09-09_15-05-27_867_ExgCh2Data_(Frank 右脛前肌)_a09_褲XL_疲勞3.txt,09-09_11-30-01_689_Ch2(frank右脛前肌).txt,ZE1一對一 score=190（Frank / 脛前肌 / 右 / a09 / 09-09｜建議ZE1 Ch2）；ZE2一對一 score=102（Frank / 脛前肌 / 右 / 09-09｜建議ZE2 Ch1）
可比對,partial,Frank,腓腸肌,右,a09,09-09,右腓腸肌 → ZE1 Ch1／ZE2 Ch2,2609-09 frank右腓腸肌_with_a09_褲XL_去腿毛.csv,09-09_15-23-04_934_ExgCh1Data_(Frank 右腓腸肌)_a09_褲XL_疲勞2.txt,,ZE1一對一 score=190（Frank / 腓腸肌 / 右 / a09 / 09-09｜建議ZE1 Ch1）；ZE2未配對：無符合一對一檔名條件
可比對,partial,Frank,脛前肌,左,a09,09-09,左脛前肌 → ZE1 Ch1／ZE2 Ch2,2609-09 frank左脛前肌_with_a09_褲XL_去腿毛.csv,09-09_12-51-53_172_ExgCh1Data_(Frank 左脛前肌)_a09_褲XL_疲勞3.txt,,ZE1一對一 score=190（Frank / 脛前肌 / 左 / a09 / 09-09｜建議ZE1 Ch1）；ZE2未配對：無符合一對一檔名條件
可比對,partial,Frank,腓腸肌,左,a09,09-09,左腓腸肌 → ZE1 Ch2／ZE2 Ch1,2609-09 frank左腓腸肌_with_a09_褲XL_去腿毛.csv,09-09_14-42-34_881_ExgCh2Data_(Frank 左腓腸肌)_a09_褲XL_疲勞3.txt,,ZE1一對一 score=190（Frank / 腓腸肌 / 左 / a09 / 09-09｜建議ZE1 Ch2）；ZE2未配對：無符合一對一檔名條件
可比對,complete,Frank,脛前肌,右,,09-09,右脛前肌 → ZE1 Ch2／ZE2 Ch1,2609-09 frank右脛前肌(Delsys)_with_ze2_1.csv,09-09_11-19-17_426_ExgCh1Data_(Frank 右脛前肌)_a09_褲XL_1.txt,09-09_11-30-01_689_Ch2_(Frank 右脛前肌)_ze2_褲XL_2.txt,ZE1一對一 score=110（Frank / 脛前肌 / 右 / 09-09 / #1｜建議ZE1 Ch2）；ZE2一對一 score=102（Frank / 脛前肌 / 右 / 09-09｜建議ZE2 Ch1）
可比對,partial,Frank,脛前肌,右,,09-09,右脛前肌 → ZE1 Ch2／ZE2 Ch1,2609-09 frank右脛前肌(Delsys)_with_ze2_2.csv,09-09_11-21-27_792_ExgCh1Data_(Frank 右脛前肌)_a09_褲XL_2.txt,,ZE1一對一 score=110（Frank / 脛前肌 / 右 / 09-09 / #2｜建議ZE1 Ch2）；ZE2未配對：無符合一對一檔名條件
可比對,partial,Frank,腓腸肌,右,,09-09,右腓腸肌 → ZE1 Ch1／ZE2 Ch2,2609-09 frank右腓腸肌(Delsys)_with_ZE2_1.csv,09-09_15-25-56_272_ExgCh1Data_(Frank 右腓腸肌)_a09_褲XL_疲勞3.txt,,ZE1一對一 score=135（Frank / 腓腸肌 / 右 / 09-09｜建議ZE1 Ch1）；ZE2未配對：無符合一對一檔名條件
可比對,partial,Frank,腓腸肌,右,,09-09,右腓腸肌 → ZE1 Ch1／ZE2 Ch2,2609-09 frank右腓腸肌(Delsys)_with_ZE2_2.csv,09-09_11-50-05_808_ExgCh2Data_(Frank 右腓腸肌)_a09_褲XL_2.txt,,ZE1一對一 score=110（Frank / 腓腸肌 / 右 / 09-09 / #2｜建議ZE1 Ch1）；ZE2未配對：無符合一對一檔名條件
可比對,partial,Frank,脛前肌,左,,09-09,左脛前肌 → ZE1 Ch1／ZE2 Ch2,2609-09 frank左脛前肌(Delsys)_with_ze2_1.csv,09-09_09-41-19_786_ExgCh2Data_(Frank 左脛前肌)_a09_褲XL_1.txt,,ZE1一對一 score=110（Frank / 脛前肌 / 左 / 09-09 / #1｜建議ZE1 Ch1）；ZE2未配對：無符合一對一檔名條件
可比對,partial,Frank,脛前肌,左,,09-09,左脛前肌 → ZE1 Ch1／ZE2 Ch2,2609-09 frank左脛前肌(Delsys)_with_ze2_2.csv,09-09_09-45-46_944_ExgCh2Data_(Frank 左脛前肌)_a09_褲XL_2.txt,,ZE1一對一 score=110（Frank / 脛前肌 / 左 / 09-09 / #2｜建議ZE1 Ch1）；ZE2未配對：無符合一對一檔名條件
可比對,partial,Frank,腓腸肌,左,,09-09,左腓腸肌 → ZE1 Ch2／ZE2 Ch1,2609-09 frank左腓腸肌(Delsys)_with_ze2_1.csv,09-09_10-31-15_181_ExgCh1Data_(Frank 左腓腸肌)_a09_褲XL_1.txt,,ZE1一對一 score=110（Frank / 腓腸肌 / 左 / 09-09 / #1｜建議ZE1 Ch2）；ZE2未配對：無符合一對一檔名條件
可比對,partial,Frank,腓腸肌,左,,09-09,左腓腸肌 → ZE1 Ch2／ZE2 Ch1,2609-09 frank左腓腸肌(Delsys)_with_ze2_2.csv,09-09_10-35-51_625_ExgCh1Data_(Frank 左腓腸肌)_a09_褲XL_2.txt,,ZE1一對一 score=110（Frank / 腓腸肌 / 左 / 09-09 / #2｜建議ZE1 Ch2）；ZE2未配對：無符合一對一檔名條件
